Sim. Command,Time,tr_node0_to_node1,tr_node1_to_node0,tr_node1_to_node2,tr_node2_to_node1,tr_node2_to_node3,tr_node3_to_node2,tr_node3_to_node4,tr_node4_to_node3,tr_node4_to_node5,tr_node5_to_node4,tr_node5_to_node6,tr_node6_to_node5,tr_node6_to_node7,tr_node7_to_node6,tr_node7_to_node8,tr_node8_to_node7,tr_node8_to_node9,tr_node9_to_node8
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.344167000001,3,0,0,0,6,0,0,10,0,0,0,0,3,0,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.349257000001,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,1,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.35431500000099997,2,0,0,2,3,3,0,0,0,0,2,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.359399000001,0,0,0,1,0,0,4,0,1,0,0,1,0,0,3,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.364425000001,1,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.369491000001,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.374620000001,0,0,0,0,4,0,4,0,0,1,0,0,2,0,0,1,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.379728000001,0,0,0,0,10,0,6,0,0,2,0,4,0,0,0,0,1,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.38481400000099997,0,0,2,0,0,0,9,0,3,0,0,0,8,0,1,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.389927000001,2,0,4,0,0,0,10,0,3,0,0,1,0,1,0,1,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.39502559999799997,2,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,2,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.400111000001,2,0,0,0,10,0,0,10,0,0,0,0,0,0,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.405156000001,0,2,0,0,4,0,0,0,0,0,8,0,0,0,0,2,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.41021300000099997,0,2,3,0,6,0,0,0,0,2,0,0,9,0,0,0,0,4
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.41528600000099997,0,3,3,0,6,0,0,0,0,3,0,4,0,0,1,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.42033600000099997,0,0,6,0,7,0,0,6,0,0,1,0,0,0,4,0,0,3
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.425366599998,3,0,0,4,0,2,0,0,6,0,0,0,0,0,0,0,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.430405000001,0,0,0,4,0,1,0,0,2,0,0,0,0,5,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.435483000001,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.440489000001,2,0,0,0,4,0,1,0,0,6,0,1,0,2,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.445539399998,0,4,0,0,0,0,7,0,0,0,1,0,2,0,0,1,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.450627000001,0,4,0,0,0,0,0,2,7,0,0,1,0,1,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.455648000001,0,0,1,0,0,6,1,0,0,0,0,1,0,0,0,2,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.46072300000099997,2,0,1,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.46580000000099997,0,3,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.470843000001,0,4,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.475877000001,0,4,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.48097900000099997,0,6,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.486030000001,0,0,1,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.491065000001,2,0,2,0,0,8,0,0,0,0,3,0,0,1,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.496161000001,0,2,0,0,2,0,6,0,0,3,0,0,0,3,0,0,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.501178000001,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.5062650000009999,0,0,0,4,0,0,0,1,3,0,0,0,0,0,4,0,0,3
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.511325000001,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.516407000001,0,0,4,0,0,5,1,0,2,0,0,6,0,0,0,0,3,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.521434000001,0,3,0,5,0,0,5,0,2,0,0,0,0,0,0,0,5,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.526549000001,2,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,5,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.531590000001,3,0,0,0,0,0,1,0,0,0,10,0,0,0,0,3,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.536642000001,6,0,1,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.541752000001,6,0,1,0,0,0,3,0,0,9,0,1,0,1,0,3,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.546853000001,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0
